deptId,deptServices,deptName,buildingId,deptPhone,nodeId,departmentNodes
97,null,Sadowsky Conference Room,4,null,null,null
98,null,Social Work,4,null,null,null
99,null,Tynan Conference Room,4,null,null,null
100,null,Urology,4,null,null,null
101,null,Boston ENT Associates,4,null,null,null
102,null,Endocrinology/Diabetes/Hemotology,4,null,null,null
103,null,Headache,4,null,null,null
104,null,ICU,4,null,null,null
105,null,Internal Medicine,4,null,null,null
106,null,Oncology Clinic,4,null,null,null
107,null,Orthopaedics Associates,4,null,null,null
108,null,Outpatient Infusion Center,4,null,null,null
109,null,Primary Care Physicians,4,null,null,null
110,null,Surgical Specialties,4,null,null,null
111,null,X-Ray,4,null,null,null
112,null,X-Ray Waiting Room,4,null,null,null
